Borough,High employment rate,Safety,Affordable housing,Rental accommodation availability,Low council tax,Green space,Low road congestion,Public transport accessibility,Education,Labour seats,Conservative seats,Lib Dem seats
Barking and Dagenham,0.08,0.83,1,0.25,0.36,0.53,0.64,0.11,0.15,1,0,0
Barnet,0.59,0.94,0.79,0.45,0.28,0.67,0.06,0.11,0.63,0.43,0.6,0.02
Bexley,0.58,1,0.94,0.05,0.25,0.49,0.3,0.01,0.4,0.24,0.84,0
Brent,0.23,0.86,0.79,0.67,0.32,0.31,0.43,0.24,0.26,0.89,0.11,0.02
Bromley,0.88,0.94,0.86,0.03,0.37,0.97,0,0.05,0.73,0.12,1,0
Camden,0.16,0.6,0.51,0.62,0.36,0.37,0.7,0.61,0.16,0.74,0.26,0.02
City of London,0,0,0.48,0,0.74,0,1,1,0,0,0,0
Croydon,0.64,0.86,0.93,0.28,0.21,0.59,0.09,0.15,0.33,0.57,0.5,0
Ealing,0.29,0.87,0.82,0.67,0.32,0.48,0.27,0.17,0.18,0.77,0.2,0.07
Enfield,0.26,0.89,0.91,0.34,0.28,0.75,0.23,0.1,0.28,0.65,0.41,0
Greenwich,0.11,0.87,0.89,0.2,0.4,0.54,0.5,0.17,0.37,0.84,0.18,0
Hackney,0.11,0.73,0.76,0.25,0.38,0.34,0.74,0.46,0.19,0.88,0.08,0.06
Hammersmith and Fulham,0.62,0.7,0.51,0.7,0.64,0.26,0.72,0.43,0.42,0.57,0.51,0
Haringey,0.39,0.82,0.8,0.49,0.2,0.38,0.61,0.33,0.29,0.84,0,0.19
Harrow,0.41,1,0.82,0.43,0.17,0.55,0.35,0.07,0.37,0.54,0.49,0.02
Havering,0.68,0.93,0.94,0,0.18,1,0.24,0.01,0.3,0.02,0.48,0
Hillingdon,0.51,0.91,0.89,0.25,0.27,0.81,0.21,0,0.21,0.35,0.76,0
Hounslow,0.78,0.87,0.88,0.73,0.3,0.64,0.39,0.12,0.43,0.82,0.22,0
Islington,0.38,0.66,0.65,0.42,0.42,0.14,0.76,0.6,0.29,0.98,0,0
Kensington and Chelsea,0.11,0.65,0,0.76,0.6,0.19,0.72,0.65,1,0.24,0.87,0.02
Kingston upon Thames,0.84,0.97,0.81,0.17,0,0.58,0.55,0.08,0.63,0.04,0.69,0.45
Lambeth,0.92,0.71,0.79,0.86,0.45,0.23,0.57,0.49,0.39,0.94,0.06,0
Lewisham,0.67,0.85,0.9,0.46,0.32,0.32,0.51,0.28,0.06,0.98,0,0
Merton,0.78,0.96,0.82,0.44,0.27,0.55,0.53,0.18,0.25,0.6,0.39,0.02
Newham,0,0.78,0.94,0.96,0.43,0.35,0.61,0.28,0.07,1,0,0
Redbridge,0.31,0.9,0.88,0.47,0.28,0.66,0.31,0.11,0.57,0.56,0.47,0.06
Richmond upon Thames,0.94,0.97,0.63,0.34,0.09,0.84,0.45,0.11,0.49,0,0.85,0.33
Southwark,0.25,0.71,0.79,0.47,0.47,0.37,0.61,0.44,0.36,0.76,0.04,0.25
Sutton,1,0.98,0.91,0.21,0.24,0.5,0.41,0.06,0.86,0,0.2,1
Tower Hamlets,0.16,0.74,0.83,0.71,0.49,0.19,0.72,0.44,0.34,0.44,0.18,0
Waltham Forest,0.47,0.83,0.9,0.64,0.23,0.49,0.51,0.21,0,0.73,0.31,0
Wandsworth,0.81,0.89,0.65,0.44,0.99,0.41,0.42,0.34,0.2,0.32,0.8,0
Westminster,0.38,0,0.31,1,1,0.61,0.69,0.74,0.55,0.27,0.86,0
